sales,product,quantity,total_price,no_of_items_sold,profits,loss,profits_status,loss_status,sales_date,customer_id,product_id,customer_country,customer_postal_code,category,transaction_id,payment_method
1,Peach Halves (canned),567,1584.04,480,1171.96,3669.77,profitable,low,7/12/2021,1,1,Indonesia,,groceries,1,online payment
2,Kids' Outdoor Explorer Kit,172,4081.85,591,4425.69,4836.34,loss-making,medium,5/10/2021,2,2,Russia,456144,groceries,2,online payment
3,Basketball,114,5656.74,455,352.19,-634.79,break-even,high,6/14/2021,3,3,Indonesia,,clothing,3,online payment
4,Electric Wine Opener,151,4175.66,634,2836.24,-1228.76,break-even,high,8/18/2021,4,4,China,,electronics,4,online payment
5,Flavored Instant Oatmeal,108,5224.07,847,2043.79,-604.18,break-even,low,1/25/2021,5,5,Peru,,groceries,5,online payment
6,Lentil Soup,310,2023.85,937,-320.83,3054.64,loss-making,low,1/10/2021,6,6,South Korea,,groceries,6,cash
7,Blue Corn Tortilla Chips,452,203.9,991,-151.83,2093.24,profitable,low,12/3/2021,7,7,Japan,597-0095,clothing,7,online payment
8,V-Neck Sweater,671,2511.31,59,323.85,1799.27,loss-making,low,11/20/2021,8,8,China,,groceries,8,credit card
9,Fitness Resistance Bands Set,780,9965.63,514,2284.84,2716.18,break-even,low,9/12/2021,9,9,Indonesia,,groceries,9,online payment
10,Organic Spinach,698,803.09,210,4907.29,-945.67,profitable,medium,1/7/2021,10,10,Mexico,60070,groceries,10,cash
11,Solar Garden Lights,153,8921.66,623,4683.78,-164.52,break-even,medium,8/7/2021,11,11,France,32010 CEDEX,clothing,11,credit card
12,Cilantro Lime Rice,422,4955.13,484,4794.74,-2155.33,loss-making,high,4/11/2021,12,12,Uzbekistan,,groceries,12,cash
13,Mediterranean Flatbread,724,8225.03,401,558.89,4615.85,loss-making,high,7/16/2021,13,13,Indonesia,,clothing,13,credit card
14,Frozen Salmon Filets,957,6621.34,814,2982.98,-193.18,profitable,high,10/26/2021,14,14,Sweden,169 65,electronics,14,online payment
15,Set of Decorative Storage Bins,814,7682.33,429,3862.46,-4644.61,loss-making,low,12/30/2021,15,15,China,,clothing,15,online payment
16,Brussels Sprouts,981,4263.81,890,1488.45,-1522.09,profitable,medium,11/21/2021,16,16,China,,electronics,16,cash
17,Buffalo Stilton Cheese,259,6324.16,436,-684.03,-456.92,loss-making,low,4/27/2021,17,17,Mozambique,,groceries,17,online payment
18,Ice Pack,760,8069.61,21,2616.49,4411.96,profitable,low,11/26/2021,18,18,South Africa,6511,clothing,18,online payment
19,Sturdy Bookends,194,6465.11,362,4267.13,-2681.91,profitable,low,6/28/2021,19,19,Colombia,763029,electronics,19,cash
20,Crispy Potato Tots,96,9533.06,917,55.63,819.2,profitable,medium,11/24/2021,20,20,Philippines,6118,groceries,20,credit card
21,Pasta (Fusilli),304,7985.69,957,3424.86,-3487.59,profitable,medium,11/2/2021,21,21,Norway,0591,electronics,21,online payment
22,Cinnamon Roll Protein Bar,455,8788.52,981,4578.33,-3923.9,profitable,high,4/4/2021,22,22,Indonesia,,clothing,22,online payment
23,Noise-Canceling Headphones,973,7544.35,116,1087.32,-1953.51,profitable,medium,6/24/2021,23,23,Portugal,2600-015,groceries,23,cash
24,Thai Basil Fried Rice,238,80.44,998,894.78,3303.72,break-even,medium,4/28/2021,24,24,Brunei,,electronics,24,credit card
25,Pet Hair Removal Brush,882,8274.53,162,3245.09,2766.87,loss-making,medium,9/16/2021,25,25,China,,electronics,25,online payment
26,Almond Quinoa Salad,346,267.94,125,-627.26,-3803.42,break-even,high,11/13/2021,26,26,Norway,8038,clothing,26,cash
27,Herbal Garden Starter Kit,226,8395.49,626,-153.46,-698.51,loss-making,low,5/18/2021,27,27,South Africa,8040,electronics,27,credit card
28,Travel Yoga Mat,197,1721.87,34,-918.45,-2045.79,break-even,high,9/5/2021,28,28,South Africa,1126,electronics,28,cash
29,Dish Soap Dispenser,517,1783.55,445,927.17,1935.75,profitable,low,6/18/2021,29,29,China,,clothing,29,cash
30,Cork Yoga Mat,362,3984.97,153,3819.23,4608.09,loss-making,medium,5/16/2021,30,30,China,,clothing,30,online payment
31,Safety First Aid Kit,949,2083.6,511,368.12,-4302.91,profitable,high,4/19/2021,31,31,Lithuania,56001,groceries,31,credit card
32,Organic Granola,356,9679.82,176,2168.29,1559.3,profitable,medium,1/3/2021,32,32,Germany,40489,electronics,32,cash
33,Electric Razor,588,6293.11,341,2994.78,-486.8,profitable,medium,8/13/2021,33,33,Philippines,4228,groceries,33,cash
34,Stainless Steel BBQ Grill Set,245,6111.58,980,-246.46,1225.86,profitable,high,9/3/2021,34,34,China,,clothing,34,cash
35,Bamboo Cutting Board Set,354,7709.72,347,2987.73,-8.01,profitable,low,5/23/2021,35,35,Denmark,1121,clothing,35,cash
36,Solar Garden Lights,511,3957.16,9,3101.96,-1171.18,loss-making,high,1/19/2021,36,36,Sweden,566 24,groceries,36,online payment
37,Zucchini,554,1055.76,363,4842.71,-1231.14,profitable,medium,3/18/2021,37,37,Russia,633104,electronics,37,online payment
38,Apple Cinnamon Instant Oatmeal,251,6496.45,638,579.6,-3456.94,break-even,medium,12/21/2021,38,38,Morocco,,clothing,38,online payment
39,Electric Air Pump,635,9469.31,871,4239.79,-2549.39,profitable,low,6/8/2021,39,39,Macedonia,1228,electronics,39,online payment
40,Garlic Parmesan Roasted Nuts,678,7193.42,522,-682.14,-150.1,loss-making,high,11/1/2021,40,40,China,,clothing,40,cash
41,Chia Seeds,257,254.13,285,-675.82,3563.6,profitable,medium,2/8/2021,41,41,Bahamas,,electronics,41,online payment
42,Ultraviolet Phone Sanitizer,735,9972.85,873,3366.54,-171.49,loss-making,high,11/30/2021,42,42,Finland,85900,electronics,42,online payment
43,Cheesy Cauliflower Bake,824,3958.37,661,149.24,4737.01,break-even,medium,9/22/2021,43,43,Russia,197755,electronics,43,cash
44,Mango Chunks,826,2548.16,462,3161.13,3937.52,loss-making,low,1/12/2021,44,44,Sweden,451 32,groceries,44,cash
45,Herb Garlic Butter,305,4721.14,930,3292.12,402.17,profitable,low,8/8/2021,45,45,China,,electronics,45,cash
46,Lemon Pepper Seasoning,823,4108.27,824,-531.84,2804.33,break-even,medium,3/11/2021,46,46,Indonesia,,groceries,46,online payment
47,Pressure Washer Accessories Kit,678,7494.3,342,1150.17,2802.98,profitable,low,2/6/2021,47,47,Brazil,08550-000,clothing,47,online payment
48,Sea Salt Caramel Brownie,389,2460.88,512,934.03,-3312.45,loss-making,low,12/30/2021,48,48,Philippines,4513,clothing,48,online payment
49,Fitness Resistance Bands Kit,145,861.17,463,2494.02,-3511.43,profitable,high,5/11/2021,49,49,Brazil,39550-000,clothing,49,online payment
50,Beef Jerky,125,3426.53,428,3796.23,4205.72,break-even,high,10/25/2021,50,50,Colombia,155028,groceries,50,online payment
51,Coconut Cream Pie,719,9119.9,657,1709.45,2191.82,profitable,low,12/2/2021,51,51,China,,electronics,51,credit card
52,Smartphone Stand,992,4847.79,349,2555.67,365.99,loss-making,medium,6/5/2021,52,52,Sweden,828 25,clothing,52,credit card
53,Savory Mushroom Risotto,90,8647.07,982,2174.66,-3405.43,profitable,low,9/20/2021,53,53,China,,groceries,53,cash
54,Luxury Rolling Makeup Case,897,2686.31,226,4865.95,1893.85,loss-making,medium,10/26/2021,54,54,Brazil,18480-000,groceries,54,online payment
55,Mashed Sweet Potatoes,793,6005.99,966,490.19,-3870.31,profitable,medium,2/23/2021,55,55,Russia,396340,clothing,55,credit card
56,Pizza Stone,752,1754.74,749,1440.79,1162.46,break-even,low,10/23/2021,56,56,Paraguay,,clothing,56,cash
57,Watering Can with Nozzle,118,7096.65,277,-256.35,-2214.84,loss-making,high,10/25/2021,57,57,Serbia,,clothing,57,cash
58,Cinnamon Sugar Mix,303,8302.71,809,3808.61,855.14,loss-making,low,7/25/2021,58,58,Russia,366702,groceries,58,online payment
59,Granola Clusters,792,1314.86,582,1146.02,1485.62,break-even,medium,2/27/2021,59,59,Argentina,9400,clothing,59,online payment
60,Acoustic Guitar,306,8743.04,568,636.89,-4053.05,loss-making,high,4/22/2021,60,60,Philippines,2442,groceries,60,online payment
